id_appuntamento,id_cliente,id_servizio,data,ora,stato,prezzo_pagato,metodo_pagamento
227,41,1,2024-10-26,19:30:00,Completato,18.0,Carta
228,64,2,2024-10-29,09:15:00,Completato,26.0,Contanti
229,20,7,2024-10-29,10:00:00,Completato,35.0,Contanti
230,47,3,2024-10-30,10:45:00,Completato,12.0,Carta
231,45,2,2024-10-30,17:45:00,Cancellato,0.0,
232,63,1,2024-10-31,18:30:00,Cancellato,0.0,
233,39,2,2024-10-31,19:45:00,Completato,26.0,Satispay
234,61,2,2024-11-01,09:45:00,Completato,26.0,Satispay
235,89,1,2024-11-01,10:00:00,Completato,18.0,Carta
236,86,2,2024-11-01,11:00:00,Completato,26.0,Satispay
237,33,1,2024-11-01,11:45:00,No-show,0.0,
238,92,1,2024-11-01,12:00:00,Completato,16.2,Satispay
239,67,3,2024-11-01,15:30:00,Completato,12.0,Carta
240,72,6,2024-11-01,16:15:00,Completato,10.0,Carta
241,90,1,2024-11-01,17:00:00,Completato,18.0,Carta
242,31,1,2024-11-01,18:30:00,Completato,18.0,Contanti
243,62,6,2024-11-01,19:30:00,Completato,10.0,Contanti
244,38,3,2024-11-02,12:00:00,Completato,12.0,Carta
245,7,8,2024-11-02,15:00:00,Completato,22.0,Contanti
246,40,1,2024-11-02,18:00:00,Completato,18.0,Contanti
247,19,1,2024-11-05,11:00:00,Completato,18.0,Contanti
248,53,1,2024-11-05,11:15:00,Completato,18.0,Carta
249,76,1,2024-11-06,09:30:00,Cancellato,0.0,
250,11,5,2024-11-06,10:00:00,Completato,12.0,Satispay
251,82,1,2024-11-06,10:00:00,Completato,18.0,Carta
252,44,3,2024-11-06,15:15:00,Completato,12.0,Carta
253,52,6,2024-11-07,17:45:00,Completato,10.0,Carta
254,50,3,2024-11-08,10:15:00,No-show,0.0,
255,12,3,2024-11-08,11:00:00,Completato,12.0,Satispay
256,6,2,2024-11-08,11:15:00,Completato,26.0,Contanti
257,22,1,2024-11-08,16:15:00,Completato,18.0,Contanti
258,23,1,2024-11-08,17:15:00,Completato,18.0,Carta
259,95,2,2024-11-08,19:45:00,Completato,23.4,Carta
260,21,5,2024-11-09,12:45:00,Completato,10.8,Contanti
261,49,2,2024-11-09,12:45:00,Completato,26.0,Contanti
262,104,4,2024-11-09,17:00:00,Completato,15.0,Carta
263,26,2,2024-11-09,17:15:00,Completato,26.0,Contanti
264,80,2,2024-11-09,19:30:00,Completato,26.0,Contanti
265,73,2,2024-11-12,17:30:00,Completato,26.0,Contanti
266,30,2,2024-11-12,18:00:00,Completato,26.0,Satispay
267,42,6,2024-11-13,12:45:00,Cancellato,0.0,
268,105,1,2024-11-13,16:15:00,Completato,18.0,Carta
269,57,2,2024-11-13,18:15:00,Cancellato,0.0,
270,18,2,2024-11-14,11:00:00,Completato,26.0,Contanti
271,66,1,2024-11-14,11:30:00,Completato,18.0,Contanti
272,96,1,2024-11-14,16:30:00,Completato,18.0,Satispay
273,46,5,2024-11-15,10:30:00,Completato,12.0,Carta
274,69,1,2024-11-15,12:15:00,Completato,18.0,Contanti
275,103,3,2024-11-15,16:00:00,Completato,9.6,Carta
276,28,1,2024-11-15,17:00:00,Completato,18.0,Carta
277,27,1,2024-11-15,17:30:00,Completato,18.0,Contanti
278,55,6,2024-11-15,18:15:00,Completato,10.0,Contanti
279,70,3,2024-11-15,18:15:00,Completato,12.0,Satispay
280,97,1,2024-11-16,10:30:00,Completato,18.0,Carta
281,87,1,2024-11-16,11:45:00,Completato,18.0,Contanti
282,102,5,2024-11-16,15:30:00,Completato,12.0,Carta
283,89,1,2024-11-16,15:45:00,Completato,18.0,Contanti
284,88,2,2024-11-16,16:00:00,Completato,26.0,Satispay
285,36,1,2024-11-16,16:15:00,Completato,18.0,Contanti
286,100,7,2024-11-16,16:30:00,Completato,35.0,Contanti
287,8,4,2024-11-16,17:15:00,Completato,15.0,Carta
288,16,2,2024-11-16,18:15:00,Completato,26.0,Carta
289,25,1,2024-11-16,18:15:00,Completato,18.0,Contanti
290,26,2,2024-11-19,10:45:00,Completato,26.0,Carta
291,3,5,2024-11-19,15:00:00,Completato,12.0,Carta
292,106,1,2024-11-19,16:45:00,Completato,18.0,Contanti
293,48,1,2024-11-19,17:15:00,No-show,0.0,
294,63,1,2024-11-19,17:30:00,Cancellato,0.0,
295,84,1,2024-11-20,11:45:00,Completato,18.0,Contanti
296,54,5,2024-11-20,15:30:00,Completato,12.0,Carta
297,37,6,2024-11-21,09:00:00,Completato,10.0,Contanti
298,71,2,2024-11-21,09:45:00,Cancellato,0.0,
299,74,2,2024-11-21,11:45:00,Completato,26.0,Contanti
300,13,2,2024-11-21,16:30:00,No-show,0.0,
301,99,1,2024-11-22,11:15:00,Completato,18.0,Contanti
302,58,5,2024-11-22,16:30:00,Completato,12.0,Contanti
303,32,1,2024-11-22,17:15:00,Completato,18.0,Contanti
304,101,2,2024-11-22,17:30:00,Completato,26.0,Carta
305,34,8,2024-11-22,17:45:00,Completato,22.0,Carta
306,4,1,2024-11-22,18:45:00,Completato,18.0,Carta
307,52,6,2024-11-23,11:00:00,No-show,0.0,
308,83,2,2024-11-23,16:45:00,Completato,26.0,Carta
309,45,2,2024-11-23,17:15:00,Completato,26.0,Carta
310,56,6,2024-11-23,19:00:00,Completato,10.0,Contanti
311,19,1,2024-11-26,09:00:00,Completato,18.0,Contanti
312,93,1,2024-11-26,09:15:00,Completato,18.0,Carta
313,23,3,2024-11-26,09:45:00,Completato,12.0,Contanti
314,105,1,2024-11-26,17:15:00,Completato,18.0,Satispay
315,62,6,2024-11-26,18:30:00,Completato,10.0,Contanti
316,38,3,2024-11-26,19:15:00,Completato,12.0,Carta
317,51,2,2024-11-26,19:45:00,Completato,26.0,Carta
318,31,1,2024-11-27,10:15:00,Completato,18.0,Contanti
319,50,3,2024-11-28,09:45:00,Completato,12.0,Satispay
320,7,8,2024-11-28,11:00:00,Completato,22.0,Carta
321,59,3,2024-11-28,18:15:00,Completato,12.0,Carta
322,18,5,2024-11-29,10:15:00,Completato,12.0,Carta
323,22,2,2024-11-29,11:45:00,Completato,26.0,Contanti
324,24,3,2024-11-29,15:45:00,Completato,12.0,Carta
325,32,5,2024-11-29,16:45:00,Completato,12.0,Contanti
326,5,1,2024-11-30,10:00:00,Completato,18.0,Contanti
327,76,2,2024-11-30,11:45:00,Completato,26.0,Contanti
328,92,1,2024-11-30,12:00:00,Completato,18.0,Contanti
329,78,1,2024-11-30,16:30:00,Completato,18.0,Contanti
330,65,1,2024-12-03,10:15:00,Completato,18.0,Carta
331,113,5,2024-12-03,11:45:00,Completato,12.0,Carta
332,15,2,2024-12-03,15:00:00,Completato,26.0,Carta
333,79,1,2024-12-03,17:15:00,Completato,18.0,Carta
334,64,5,2024-12-03,17:30:00,Completato,12.0,Contanti
335,9,1,2024-12-04,16:30:00,Completato,18.0,Contanti
336,49,1,2024-12-04,17:00:00,Completato,18.0,Contanti
337,73,2,2024-12-04,17:30:00,Completato,26.0,Carta
338,82,8,2024-12-04,17:45:00,Completato,22.0,Contanti
339,27,2,2024-12-04,18:15:00,Completato,26.0,Carta
340,91,1,2024-12-04,19:00:00,No-show,0.0,
341,6,2,2024-12-05,09:30:00,Completato,26.0,Contanti
342,95,2,2024-12-05,11:00:00,Completato,26.0,Carta
343,98,3,2024-12-05,12:15:00,Completato,12.0,Contanti
344,21,5,2024-12-05,12:30:00,Completato,12.0,Carta
345,108,2,2024-12-05,17:00:00,Completato,26.0,Carta
346,40,1,2024-12-05,17:45:00,Completato,18.0,Carta
347,55,7,2024-12-05,18:00:00,Completato,35.0,Satispay
348,81,1,2024-12-06,09:00:00,Cancellato,0.0,
349,89,1,2024-12-06,11:30:00,Cancellato,0.0,
350,47,2,2024-12-06,11:45:00,Completato,26.0,Carta
351,109,1,2024-12-06,18:30:00,Completato,18.0,Carta
352,61,2,2024-12-06,19:00:00,Completato,26.0,Contanti
353,42,4,2024-12-07,15:00:00,Completato,13.5,Carta
354,16,2,2024-12-07,17:45:00,Completato,26.0,Carta
355,68,1,2024-12-07,17:45:00,Completato,18.0,Contanti
356,72,4,2024-12-10,12:30:00,Completato,15.0,Satispay
357,94,2,2024-12-10,15:15:00,Completato,26.0,Carta
358,99,1,2024-12-10,17:30:00,Completato,18.0,Contanti
359,95,2,2024-12-11,11:15:00,Completato,26.0,Contanti
360,86,2,2024-12-11,11:45:00,Completato,26.0,Carta
361,110,3,2024-12-11,18:30:00,Completato,12.0,Carta
362,34,3,2024-12-11,19:00:00,Completato,12.0,Contanti
363,80,2,2024-12-12,10:45:00,Completato,23.4,Contanti
364,54,5,2024-12-12,17:00:00,Completato,12.0,Contanti
365,23,1,2024-12-13,09:15:00,Completato,18.0,Satispay
366,13,2,2024-12-13,11:15:00,Completato,26.0,Carta
367,117,1,2024-12-14,09:30:00,Cancellato,0.0,
368,66,1,2024-12-14,10:00:00,No-show,0.0,
369,63,2,2024-12-14,12:15:00,Completato,26.0,Contanti
370,69,1,2024-12-14,12:15:00,Completato,18.0,Satispay
371,101,1,2024-12-14,15:00:00,Completato,18.0,Carta
372,28,1,2024-12-14,19:00:00,Completato,18.0,Carta
373,22,2,2024-12-17,15:00:00,Cancellato,0.0,
374,58,5,2024-12-18,09:15:00,Completato,12.0,Contanti
375,107,1,2024-12-18,12:45:00,Completato,18.0,Satispay
376,83,2,2024-12-18,18:00:00,Completato,26.0,Carta
377,26,2,2024-12-19,16:45:00,Completato,26.0,Contanti
378,116,3,2024-12-19,18:15:00,No-show,0.0,
379,106,1,2024-12-19,19:30:00,Completato,18.0,Contanti
380,53,1,2024-12-20,10:00:00,Completato,18.0,Carta
381,111,3,2024-12-20,11:00:00,Cancellato,0.0,
382,36,1,2024-12-20,16:15:00,Completato,18.0,Carta
383,38,3,2024-12-20,16:30:00,Cancellato,0.0,
384,48,1,2024-12-20,18:15:00,Completato,18.0,Contanti
385,32,1,2024-12-21,09:45:00,Completato,18.0,Carta
386,82,1,2024-12-21,10:30:00,Completato,18.0,Contanti
387,4,1,2024-12-21,11:30:00,Completato,18.0,Contanti
388,115,1,2024-12-21,12:00:00,Completato,18.0,Contanti
389,21,5,2024-12-21,17:45:00,Completato,12.0,Satispay
390,19,2,2024-12-21,18:15:00,Completato,26.0,Contanti
391,12,3,2024-12-21,19:00:00,Completato,12.0,Carta
392,44,8,2024-12-21,19:45:00,Completato,22.0,Carta
393,57,2,2024-12-21,19:45:00,Completato,26.0,Carta
394,112,2,2024-12-21,19:45:00,Completato,26.0,Carta
395,114,1,2024-12-24,09:00:00,Completato,18.0,Carta
396,103,1,2024-12-24,12:45:00,Completato,18.0,Contanti
397,105,1,2024-12-24,17:30:00,Completato,14.4,Satispay
398,45,2,2024-12-24,19:15:00,Completato,26.0,Satispay
399,6,2,2024-12-25,17:45:00,Completato,26.0,Carta
400,27,1,2024-12-25,18:00:00,Cancellato,0.0,
401,87,4,2024-12-25,18:15:00,Completato,15.0,Contanti
402,55,1,2024-12-26,09:30:00,No-show,0.0,
403,100,7,2024-12-26,10:30:00,Completato,35.0,Contanti
404,76,1,2024-12-26,17:15:00,Completato,18.0,Carta
405,70,3,2024-12-27,11:30:00,Completato,12.0,Carta
406,46,5,2024-12-27,16:00:00,Completato,12.0,Contanti
407,62,6,2024-12-27,18:15:00,Completato,10.0,Carta
408,69,6,2024-12-27,18:15:00,Completato,10.0,Carta
409,40,1,2024-12-28,11:15:00,Completato,18.0,Contanti
410,86,2,2024-12-28,15:45:00,Completato,26.0,Contanti
411,18,1,2024-12-28,17:15:00,Completato,18.0,Carta
412,93,1,2024-12-28,18:15:00,Completato,18.0,Carta
413,30,2,2024-12-28,19:15:00,Completato,26.0,Carta
414,37,6,2024-12-28,19:30:00,Completato,10.0,Satispay
415,121,2,2025-01-01,12:15:00,Completato,26.0,Satispay
416,7,8,2025-01-01,17:45:00,Completato,22.0,Contanti
417,73,2,2025-01-01,18:00:00,Completato,26.0,Carta
418,92,2,2025-01-01,18:30:00,Completato,26.0,Satispay
419,25,1,2025-01-02,10:45:00,Cancellato,0.0,
420,63,1,2025-01-02,12:45:00,Completato,18.0,Contanti
421,8,1,2025-01-02,16:15:00,Completato,18.0,Contanti
422,74,7,2025-01-02,16:30:00,Completato,35.0,Carta
423,64,2,2025-01-02,16:45:00,Completato,26.0,Contanti
424,27,1,2025-01-02,17:15:00,Completato,16.2,Contanti
425,38,3,2025-01-02,19:45:00,Completato,12.0,Contanti
426,66,3,2025-01-03,12:00:00,Completato,12.0,Satispay
427,11,5,2025-01-03,18:00:00,Completato,12.0,Satispay
428,104,4,2025-01-03,19:45:00,Completato,15.0,Carta
429,84,1,2025-01-04,09:15:00,Completato,18.0,Carta
430,89,1,2025-01-04,10:45:00,Completato,14.4,Contanti
431,20,7,2025-01-04,11:30:00,Completato,35.0,Contanti
432,65,1,2025-01-04,12:15:00,Completato,18.0,Contanti
433,78,1,2025-01-04,12:15:00,No-show,0.0,
434,122,1,2025-01-04,15:30:00,Completato,18.0,Contanti
435,88,2,2025-01-04,16:00:00,Completato,26.0,Contanti
436,5,1,2025-01-04,16:30:00,Completato,18.0,Contanti
437,58,5,2025-01-04,18:00:00,Completato,12.0,Satispay
438,47,1,2025-01-04,18:15:00,Completato,18.0,Contanti
439,26,2,2025-01-07,17:00:00,Cancellato,0.0,
440,3,5,2025-01-07,19:00:00,Completato,12.0,Contanti
441,102,5,2025-01-07,19:00:00,Completato,12.0,Contanti
442,115,1,2025-01-08,11:00:00,Completato,18.0,Contanti
443,34,8,2025-01-08,16:30:00,Completato,22.0,Carta
